E:\changchun\ChangChundata\mini\20210522\20210522_101_0148.PAS       25            43.8            45785            57.2            75.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0149.PAS       10            16.4            43530           126.6             2.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0150.PAS       18            31.0            46564             2.6            26.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0151.PAS       14            23.7            43065            63.1            19.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0152.PAS        8            12.8            46576             8.3            34.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0153.PAS       19            32.9            44757           140.2           360.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0154.PAS       26            45.6            48268           251.4            68.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0155.PAS       13            21.9            39154            46.3            25.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0156.PAS       15            25.6            39154            50.3            45.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0157.PAS       22            38.3            45361            94.3           236.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0158.PAS       26            45.5            45739            86.0           182.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0159.PAS       22            38.4            46588            19.0           119.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0160.PAS        6             9.1            43837            20.1            15.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0161.PAS        6             9.1            46558            26.7            90.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0162.PAS       21            36.5            44772            23.8             3.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0163.PAS       49            87.6            44528            92.2             7.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0164.PAS       21            36.5            45939           200.8            59.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0165.PAS       34            62.1             7493            37.9            25.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0166.PAS       11            18.3            45393            96.4           187.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0167.PAS        8            12.8            47725           189.6            97.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0169.PAS       27            47.6            45771            32.6            51.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0170.PAS       20            34.7            46569            33.7           156.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0171.PAS       13            21.9            46574             7.5            16.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0172.PAS       20            36.5            44732            32.0           111.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0173.PAS       22            40.2            45779           147.2           271.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0174.PAS       32            56.6            18187            52.1            33.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0175.PAS        7            12.9            46571            22.7           106.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0176.PAS       15            25.6            46571            23.9           123.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0178.PAS       35            62.1            26070            57.7            19.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0179.PAS        6             9.1            45370           128.6           334.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0181.PAS       20            34.7            45770            18.0            56.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0182.PAS       27            47.5            39771           134.1            73.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0184.PAS       30            52.9            39093            27.5            27.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0187.PAS       15            25.5            46584            11.0           297.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0188.PAS        6             9.1            46579            64.8           359.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0189.PAS       23            40.3            44729            83.3           202.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0190.PAS       23            40.2            44735            75.3           186.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0192.PAS        9            14.6            45378            46.8           156.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0194.PAS        6             9.1            14240            43.7            26.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0195.PAS       20            34.7            20577            32.2            11.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0197.PAS       14            23.7            45784           183.7           300.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0198.PAS       19            32.9            46582            21.7           345.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0199.PAS       21            38.3             7209            54.1            18.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0200.PAS       18            30.9            46563            30.8           353.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0201.PAS       24            42.0            44725            47.2            57.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0202.PAS        8            12.7            46560            92.3           522.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0205.PAS       33            58.4            43275            30.6             3.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0206.PAS       35            62.0            43277            32.6             1.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0207.PAS       37            65.7            43276            39.1            14.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0209.PAS       11            18.3            45780            21.2            20.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0210.PAS        6             9.2            40360           169.2             4.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0211.PAS       15            25.6            46586            23.4            98.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0212.PAS       15            25.6            45369            96.0           375.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0213.PAS       16            27.4            46573            35.8           320.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0214.PAS       16            27.4              893            23.4            13.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0215.PAS       13            21.9            45765            51.0           124.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0216.PAS       15            25.7            45368            33.1           140.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0219.PAS        6             9.1            45774           278.8           380.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0220.PAS       17            29.2            46581            79.2           239.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0221.PAS       20            34.7            44738            73.1           168.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0222.PAS       10            16.3            46554            13.9            69.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0224.PAS       19            32.9            45377            86.5           400.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0226.PAS       33            58.4            25544            24.2           318.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0227.PAS       23            40.2            44736            77.2           161.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0228.PAS        6             9.1            19851            40.4            23.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0231.PAS       23            40.1            13271            48.9            36.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0232.PAS       21            36.5            45751            26.5            17.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0233.PAS       20            34.7            45763             8.5            64.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0236.PAS       23            40.2            43925            43.9            20.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0237.PAS       13            21.9            46561            31.9           203.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0238.PAS       22            38.3            24944            35.0            25.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0239.PAS       27            47.5            45374             6.7            38.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0240.PAS       18            31.0            45750            68.7           170.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0241.PAS       54            96.8            36095            23.0            57.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0242.PAS       17            29.1            44740            46.4           108.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0244.PAS       34            60.2            45373            20.5           142.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0245.PAS       22            42.0            42808            28.9            16.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0246.PAS        6             9.1            46702           145.7           342.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0247.PAS       17            29.2            44737            14.8            49.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0248.PAS       23            40.2            21153            34.8            21.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0249.PAS       39            69.5            45371            34.2           384.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0250.PAS       21            38.3            45753            78.1           154.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0252.PAS       12            20.1            44717           175.9           287.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0253.PAS       10            16.4            43924            30.0            22.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0254.PAS       38            67.6            45858           212.5            42.6   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0255.PAS       42            75.0            45362            17.2           278.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0256.PAS       24            41.9            45754            88.4           206.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0257.PAS       15            25.5            44252            50.7           169.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0259.PAS        9            14.7            44741            33.5            41.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0260.PAS        6             9.1            15002            32.0            24.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0262.PAS       13            21.9            43948           170.3            18.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0263.PAS       56           102.1            27470            27.3             6.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0264.PAS       21            36.5            45768            90.2           206.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0265.PAS       36            63.9             6306            53.3            46.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0267.PAS       20            34.7            44727             2.8            51.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0268.PAS       20            36.5            45024             9.2            61.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0269.PAS       50            89.5            20846            51.4            20.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0270.PAS       27            47.5            45367            58.6           186.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0272.PAS        9            14.6            45164            77.5            40.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0273.PAS       26            45.6            45759            22.6             3.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0274.PAS       15            25.6            44888           202.9            41.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0275.PAS       38            67.6            45134            71.1            28.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0276.PAS       43            76.7            25892            35.4             5.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0277.PAS       20            34.7            44747             1.9            38.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0278.PAS       31            54.8            45138            84.9            48.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0280.PAS       17            29.2             8873            45.0             3.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0281.PAS       37            65.7            39239            18.9             4.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0282.PAS       37            65.7            39241            39.3            20.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0284.PAS       32            58.4            39240            60.8            25.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0285.PAS       26            45.6            45760            71.5           157.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0286.PAS       23            40.2            47297            16.7            14.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0288.PAS       31            60.2            45156            43.6            27.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0289.PAS        7            11.0            45153            10.1            10.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0290.PAS        7            11.0            45756            68.9           149.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0291.PAS       11            18.3            45153            18.4            20.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0292.PAS       22            40.3            45756            63.7           130.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0293.PAS       31            54.8            15172            23.9            15.1   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0294.PAS       16            29.2            45154            20.0            18.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0295.PAS       22            38.3            44759            91.6           152.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0296.PAS       17            32.9            45160           434.6           168.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0297.PAS       23            40.2            13403            88.1            19.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0299.PAS        7            12.8            45152            46.0            33.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0302.PAS       22            38.3            44767            91.1           138.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0303.PAS        8            12.8            44754            20.6            69.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0304.PAS       33            63.9            12681            34.9            10.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0305.PAS       16            27.5            45767             8.3            30.9   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0306.PAS       66           118.7            46488            21.6            23.8   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0307.PAS       12            20.1            45758           272.1           370.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0308.PAS        9            14.6             7828            28.7             9.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0309.PAS       24            42.0            44758           113.2           235.7   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0310.PAS        9            18.3            39250            17.6            30.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0311.PAS       24            42.0            44766           121.9           246.3   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0312.PAS       35            62.1            14624            36.3             9.0   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0313.PAS       15            25.6            44733            82.3           344.4   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0314.PAS       10            16.4            45744             7.8            36.2   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0316.PAS       15            29.3            15171            18.7             8.5   
E:\changchun\ChangChundata\mini\20210522\20210522_101_0317.PAS        6             9.1            15171            21.2            16.1   
