tSec,x,y,z,vx,vy,vz,
4920,-6200717.53311907,-2435251.47497537,3894402.96563139,-1751.94823348462,-4309.14558972278,-5479.195379227,
4980,-6296102.1456036,-2689864.99769218,3559731.22340696,-1426.70207207745,-4175.7595347899,-5673.62578600802,
5040,-6371831.58971929,-2936081.40170247,3213922.30114234,-1096.9468249795,-4029.31399863045,-5850.33654364345,
5100,-6427666.22226787,-3173130.55766274,2858056.48943079,-763.714868434089,-3870.26381806334,-6008.76664900838,
5160,-6463428.72547072,-3400270.84656548,2493246.02977123,-428.050782878893,-3699.10427204565,-6148.41240219024,
5220,-6479004.73789554,-3616791.54306668,2120631.61931862,-91.0079596537974,-3516.36960774346,-6268.82927631788,
5280,-6474343.27939568,-3822015.10433025,1741378.80976472,246.354862817907,-3322.63136797684,-6369.63356808363,
5340,-6449456.96767111,-4015299.35365326,1356674.31445499,582.977073067819,-3118.49656842329,-6450.50381076475,
5400,-6404422.02623158,-4196039.55154514,967722.236473637,917.799675658079,-2904.60576870313,-6511.18200486878,
5460,-6339378.08084479,-4363670.34692022,575740.228250672,1249.7688592865,-2681.63099441408,-6551.47465603397,
5520,-6254527.73996753,-4517667.59833455,181955.597491213,1577.83961241677,-2450.27348881872,-6571.25350910713,
5580,-6150135.9598457,-4657550.05682373,-212398.62077618,1900.97926677169,-2211.26136090932,-6570.45595372322,
5640,-6026529.20068097,-4782880.90574858,-606087.609234536,2218.17092306957,-1965.34716995836,-6549.08520797699,
5700,-5884094.37908595,-4893269.15298177,-997878.719305102,2528.4168295069,-1713.30541087933,-6507.21032845653,
5760,-5723277.61826661,-4988370.86858796,-1386545.4155262,2830.74173915011,-1455.92988188458,-6444.96596147572,
5820,-5544582.79921489,-5067890.26213127,-1770871.19563839,3124.19617027656,-1194.03098169107,-6362.5517834637,
5880,-5348569.92091316,-5131580.59706099,-2149653.4689806,3407.85950869513,-928.43298638972,-6260.2316851118,
5940,-5135853.27891724,-5179244.94128141,-2521707.38007626,3680.84296590107,-659.971309223353,-6138.33276585031,
6000,-4907099.46999641,-5210736.75241929,-2885869.56623392,3942.29242007721,-389.489730678945,-5997.24413490459,
6060,-4663025.23005767,-5225960.29631805,-3241001.83686582,4191.39112924765,-117.837613083729,-5837.41550118984,
6120,-4404395.11330341,-5224870.89833499,-3585994.76219006,4427.36231205035,154.132887386967,-5659.35556494416,
6180,-4132019.02029058,-5207475.02705008,-3919771.15933374,4649.47160194597,425.569620785365,-5463.63020060685,
6240,-3846749.58339261,-5173830.2096973,-4241289.46231858,4857.02933555298,695.623247421385,-5250.86040117866,
6300,-3549479.42149947,-5124044.780394,-4549546.96193933,5049.39261604446,963.449997237876,-5021.72000619972,
6360,-3241138.27803032,-5058277.46547571,-4843582.90454435,5225.96714351354,1228.21433508728,-4776.93328290002,
6420,-2922690.0551039,-4976736.81190979,-5122481.4427992,5386.20885429525,1489.0915305813,-4517.27241634059,
6480,-2595129.75409643,-4879680.46349396,-5385374.43333112,5529.62540493255,1745.27016800307,-4243.55491183926,
6540,-2259480.33182291,-4767414.28771765,-5631444.07519596,5655.77749687828,1995.95461345796,-3956.64088235963,
6600,-1916789.48272828,-4640291.35643701,-5859925.38195521,5764.28001440091,2240.36741428998,-3657.43021922572,
6660,-1568126.35849867,-4498710.78530134,-6070108.48149206,5854.80297653486,2477.75160796849,-3346.85968594009,
6720,-1214578.23548688,-4343116.43697046,-6261340.73956623,5927.07232731001,2707.37295709477,-3025.89994572207,
6780,-857247.139560513,-4173995.49239247,-6433028.70232691,5980.87056163393,2928.52210701575,-2695.5524960073,
6840,-497246.438824941,-3991876.89599775,-6584639.85233822,6016.0371687242,3140.51662509504,-2356.84652659408,
6900,-135697.414982272,-3797329.68235912,-6715704.17528971,6032.46890634388,3342.70291646713,-2010.8357575655,
6960,226274.177459875,-3590961.19098146,-6825815.53654911,6030.11993377183,3534.45803899971,-1658.59525826122,
7020,587541.555717658,-3373415.17530972,-6914632.86586692,6009.00180210221,3715.19141270917,-1301.21823568157,
7080,946980.348359378,-3145369.81228183,-6981881.14922078,5969.18330303425,3884.34643061587,-939.812823008362,
7140,1303472.02232589,-2907535.61681063,-7027352.22814541,5910.79020218202,4041.40202543668,-575.498868500518,
7200,1655907.28970831,-2660653.26355101,-7050905.40532259,5834.0048215952,4185.87418738917,-209.404679422213,
7260,2003189.48414986,-2405491.32018081,-7052467.85279758,5739.06544365389,4317.31738137685,157.336292073451,
7320,2344237.89683645,-2142843.90038356,-7032034.82156822,5626.26557397478,4435.32580926939,523.588746756339,
7380,2677991.06553375,-1873528.24422415,-6989669.653785,5495.95311035858,4539.53457999583,888.218830860249,
7440,3003410.00924695,-1598382.2304109,-6925503.59621708,5348.52934561142,4629.62080159642,1250.0974672641,
7500,3319481.3969755,-1318261.82705167,-6839735.41403578,5184.44777625636,4705.30453124133,1608.10366516354,
7560,3625220.64124098,-1034038.48981492,-6732630.80817197,5004.21280027184,4766.34958615255,1961.12775856599,
7620,3919674.9112601,-746596.514396702,-6604521.63969126,4808.37833867132,4812.5642608466,2308.0746086658,
7680,4201926.06038646,-456830.348550721,-6455804.96222219,4597.54635033163,4843.80195497259,2647.86680142048,
7740,4471093.46065637,-165641.869587813,-6286941.8627627,4372.3652199254,4859.9616949101,2979.4478347633,
7800,4726336.73682401,126062.36626552,-6098456.1118655,4133.52801961301,4860.98855223491,3301.78528495567,
7860,4966858.3921421,417373.896776903,-5890932.62442222,3881.77063614988,4846.87396797104,3613.87395447841,
7920,5191906.31720488,707385.143120055,-5665015.73203569,3617.86974137381,4817.65597544879,3914.73900429102,
7980,5400776.17165486,995192.208933866,-5421407.2681886,3342.64058048546,4773.41929236888,4203.43905692784,
8040,5592813.62755911,1279897.67994632,-5160864.46916907,3056.93457600854,4714.29524164707,4479.0692247329,
8100,5767416.46449725,1560613.41320679,-4884197.69714886,2761.63679257281,4640.46148600309,4740.76400000599,
8160,5924036.51042734,1836463.30580284,-4592267.99489017,2457.66334556,4552.14162309735,4987.69998072806,
