MJD,X_ECI,Y_ECI,Z_ECI,VX_ECI,VY_ECI,VZ_ECI,
59348.974571759303217,-6371831.813529402948916,-2936081.567239087540656,3213921.552660522982478,-1096.946263062851813,-4029.313872211645048,-5850.336756061781671,
59348.975266203698993,-6427666.410566688515246,-3173130.715609864797443,2858055.731651419308037,-763.714288319364073,-3870.263685436097148,-6008.766822300265630,
59348.975960648102046,-6463428.878374961204827,-3400270.996069817803800,2493245.263927634339780,-428.050186238430570,-3699.104134746958607,-6148.412535893367931,
59348.976655092599685,-6479004.854171262122691,-3616791.684714365750551,2120630.848561611957848,-91.007348849710809,-3516.369466616388763,-6268.829368982220331,
59348.977349537002738,-6474343.357339873909950,-3822015.237512978725135,1741378.036468067672104,246.355485416371891,-3322.631223748850971,-6369.633618596202723,
59348.978043981500377,-6449457.007594978436828,-4015299.477386388462037,1356673.540860513458028,582.977704917362189,-3118.496421972670760,-6450.503818767742814,
59348.978738425903430,-6404422.028158831410110,-4196039.667157949879766,967721.465267392806709,917.800313993964210,-2904.605621400495238,-6511.181970680469931,
59348.979432870401070,-6339378.043723411858082,-4363670.454190406948328,575739.462127682985738,1249.769500994133978,-2681.630847331063251,-6551.474578979384205,
59348.980127314796846,-6254527.663892476819456,-4517667.696199205704033,181954.838947051233845,1577.840255596235693,-2450.273342700204921,-6571.253390182607291,
59348.980821759301762,-6150135.845418781973422,-4657550.146009727381170,-212399.368999238067772,1900.979908426170596,-2211.261218231728890,-6570.455793934554094,
59348.981516203697538,-6026529.047982013784349,-4782880.986653512343764,-606088.345386570203118,2218.171561643032419,-1965.347031419878022,-6549.085008036466206,
59348.982210648202454,-5884094.188692900352180,-4893269.225714016705751,-997879.440973686520010,2528.417462250530662,-1713.305277017047956,-6507.210089360347411,
59348.982905092598230,-5723277.390890110284090,-4988370.933398892171681,-1386546.120157033437863,2830.742363969604412,-1455.929754139894612,-6444.965684740112920,
59348.983599537001282,-5544582.534794856794178,-5067890.319062100723386,-1770871.880931295454502,3124.196785855517646,-1194.030860941559695,-6362.551470651734235,
59348.984293981498922,-5348569.619983304291964,-5131580.646898861974478,-2149654.133235716260970,3407.860112851936265,-928.432872499329505,-6260.231338570049957,
59348.984988425901975,-5135852.943540708161891,-5179244.984118679538369,-2521708.020678346045315,3680.843558218197813,-659.971202972006495,-6138.332386043138285,
59348.985682870399614,-4907099.099864305928349,-5210736.789186811074615,-2885870.182625969406217,3942.292998360209367,-389.489632245408075,-5997.243723505934213,
59348.986377314802667,-4663024.827271492220461,-5225960.326671494171023,-3241002.426608324516565,4191.391692642244379,-117.837521575259956,-5837.415059858517452,
59348.987071759300306,-4404394.677600296214223,-5224870.923391051590443,-3585995.323085240554065,4427.362858723564386,154.132970984861913,-5659.355094748858392,
59348.987766203703359,-4132018.553898721933365,-5207475.047585205174983,-3919771.690484560094774,4649.472129906511327,425.569696348121340,-5463.629703614279606,
59348.988460648200999,-3846749.087069037836045,-5173830.225178747437894,-4241289.961570315063000,4857.029843597897525,695.623315529348702,-5250.859878377300447,
59348.989155092596775,-3549478.896569371689111,-5124044.791937846690416,-4549547.428048959001899,5049.393102585036104,963.450056476791815,-5021.719459676448423,
59348.989849536999827,-3241137.726059632375836,-5058277.473226833157241,-4843583.336432278156281,5225.967606887524198,1228.214386610123483,-4776.932713627289559,
59348.990543981497467,-2922689.477308778092265,-4976736.816418997012079,-5122481.840109208598733,5386.209292638550323,1489.091574640968020,-4517.271827188143106,
59348.991238425900519,-2595129.152938514482230,-4879680.465823194012046,-5385374.793604919686913,5529.625816838061837,1745.270203832651305,-4243.554303210302351,
59348.991932870398159,-2259479.708762247115374,-4767414.287561839446425,-5631444.398025640286505,5655.777881148843335,1995.954641200729384,-3956.640257158810982,
59348.992627314801211,-1916788.839084546314552,-4640291.354080613702536,-5859925.666641325689852,5764.280369349809916,2240.367433830324899,-3657.429579451609243,
59348.993321759298851,-1568125.696540547534823,-4498710.781950128264725,-6070108.727602996863425,5854.803301082974031,2477.751618717610654,-3346.859034422480363,
59348.994016203701904,-1214577.556282476987690,-4343116.433044113218784,-6261340.945774634368718,5927.072620237067895,2707.372958959512289,-3025.899283945344905,
59348.994710648097680,-857246.445955025497824,-4173995.487895038444549,-6433028.868635718710721,5980.870822675998170,2928.522100281403254,-2695.551826729473305,
59348.995405092602596,-497245.732105489238165,-3991876.891965885646641,-6584639.978273526765406,6016.037397375065666,3140.516610269824469,-2356.845853232289301,
59348.996099536998372,-135696.698201608087402,-3797329.679503575898707,-6715704.260393236763775,6032.469101105793925,3342.702893361983115,-2010.835081231011145,
59348.996793981503288,226274.902998340781778,-3590961.189195227343589,-6825815.581381050869823,6030.120094726742536,3534.458008786607479,-1658.594582110728197,
59348.997488425899064,587542.287744845729321,-3373415.174833207391202,-6914632.870348743163049,6009.001928456269525,3715.191376628351463,-1301.217560842863577,
59348.998182870396704,946981.084692454431206,-3145369.813400711398572,-6981881.114189181476831,5969.183394485213284,3884.346388138384100,-939.812152691832125,
59348.998877314799756,1303472.761154907522723,-2907535.620128669310361,-7027352.153597224503756,5910.790258016917505,4041.401977861909927,-575.498204672879865,
59348.999571759297396,1655908.027930150739849,-2660653.269724559970200,-7050905.292047309689224,5834.004841265364121,4185.874134476679501,-209.404024708825119,
59349.000266203700448,2003190.220393389463425,-2405491.329094125423580,-7052467.700722892768681,5739.065427612028543,4317.317323776821468,157.336936581629857,
59349.000960648103501,2344238.629396571312100,-2142843.912583302240819,-7032034.632343646138906,5626.265522337649600,4435.325746872840682,523.589378389936201,
59349.001655092601140,2677991.791327688377351,-1873528.259889969369397,-6989669.427909450605512,5495.953022693753155,4539.534514852306529,888.219447409703548,
59349.002349536996917,3003410.726831720210612,-1598382.249177364166826,-6925503.335339719429612,5348.529222401030893,4629.620733312916855,1250.098065867925698,
59349.003043981501833,3319482.103932371828705,-1318261.850098142633215,-6839735.118958328850567,5184.447618919386514,4705.304460433537315,1608.104244960356255,
59349.003738425897609,3625221.336001320276409,-1034038.516547367093153,-6732630.479845593683422,5004.212608199071838,4766.349514062138041,1961.128316517866779,
59349.004432870402525,3919675.591548704542220,-746596.545326275285333,-6604521.280009957030416,4808.378113277897683,4812.564187575431788,2308.075143808711800,
59349.005127314798301,4201926.723876131698489,-456830.383535527682398,-6455804.572396023198962,4597.546092878576019,4843.801882069065869,2647.867311586725009,
59349.005821759303217,4471094.105723018757999,-165641.908196113334270,-6286941.443698320537806,4372.364929989019402,4859.961622675091348,2979.448318385794209,
59349.006516203698993,4726337.361897036433220,126062.323157108214218,-6098455.665966491214931,4133.527698549104571,4860.988482163831577,3301.785740064223319,
59349.007210648102046,4966858.995260340161622,417373.849758821073920,-5890932.153992411680520,3881.770285143674300,4846.873899799283208,3613.874380646328063,
59349.007905092599685,5191906.895857946947217,707385.092850072891451,-5665015.238458248786628,3617.869361035684960,4817.655909982106095,3914.739398470707783,
59349.008599537002738,5400776.725095564499497,995192.155206933268346,-5421406.753828930668533,3342.640172262609212,4773.419230519945813,4203.439418711574945,
59349.009293981500377,5592814.154124325141311,1279897.622660598251969,-5160863.934946311637759,3056.934141126453142,4714.295183647899648,4479.069553286828523,
59349.009988425903430,5767416.962713886052370,1560613.352646043291315,-4884197.146337830461562,2761.636332772414335,4640.461433030168337,4740.764294043156042,
59349.010682870401070,5924036.979387681931257,1836463.242542750667781,-4592267.429200214333832,2457.662861375262764,4552.141576184209953,4987.700239065429741,
59349.011377314796846,6062181.864673229865730,2106585.971543285995722,-4285983.902062098495662,2145.958279594276064,4449.604679303289231,5219.098743020696020,
59349.012071759301762,6181416.737133729271591,2370137.713975521270186,-3966300.990124760661274,1827.492821221514987,4333.164714248635391,5434.228597803203229,
59349.012766203697538,6281365.628360650502145,2626294.810356834903359,-3634215.504252656362951,1503.259425143775843,4203.179778293977506,5632.408638628177869,
59349.013460648202454,6361712.747392087243497,2874256.384761353023350,-3290763.563573735766113,1174.270622992927201,4060.051111482664965,5813.010147405493626,
59349.014155092598230,6422203.563165317289531,3113246.906806642189622,-2937017.379707115236670,841.555371971304794,3904.221990658220875,5975.459066226128925,
59349.014849537001282,6462645.697478312067688,3342518.670351731125265,-2574081.916602562181652,506.155805039631957,3736.176487676430497,6119.238095018487911,
59349.015543981498922,6482909.606615676544607,3561354.201959605328739,-2203091.421947200316936,169.123851103587924,3556.438046270317500,6243.888660471789080,
59349.016238425901975,6482929.072932765819132,3769068.576527654659003,-1825205.854182838695124,-168.482250772130612,3365.567836353733128,6349.012637177451325,
59349.016932870399614,6462701.474304554052651,3965011.626473023090512,-1441607.207068201154470,-505.601441341999532,3164.162985339954048,6434.273816779614208,
59349.017627314802667,6422287.848179349675775,4148570.045153472572565,-1053495.758820335846394,-841.173332032939697,2952.854706577547859,6499.399184128010347,
59349.018321759300306,6361812.747217684984207,4319169.368822650052607,-662086.241828885511495,-1174.141794390138330,2732.306278498394022,6544.180036633420059,
59349.019016203703359,6281463.873611916787922,4476275.839388359338045,-268603.962916915363166,-1503.458597219345165,2503.210803124714403,6568.472802721852531,
59349.019710648200999,6181491.493725993670523,4619398.118407644331455,125719.125848604453495,-1828.086984871482628,2266.288836236505176,6572.199518168876239,
59349.020405092596775,6062207.652707400731742,4748088.865972036495805,519648.367756288440432,-2147.005130075969646,2022.285945311372416,6555.348026177593056,
59349.021099536999827,5923985.168483385816216,4861946.162411635741591,911950.351502082427032,-2459.209506060707554,1771.970241112074746,6517.971980291594264,
59349.021793981497467,5767256.441723003052175,4960614.788552260026336,1301396.853618328459561,-2763.718211010983850,1516.129815936665409,6460.190653210962410,
59349.022488425900519,5592512.056740933097899,5043787.343978601507843,1686768.767331456765532,-3059.574235734455215,1255.570083372152112,6382.188491492578578,
59349.023182870398159,5400299.189214945770800,5111205.205424053594470,2066859.988815800286829,-3345.848600726292716,991.111089266151339,6284.214401983265816,
59349.023877314801211,5191219.840063920244575,5162659.321919661015272,2440481.261804013047367,-3621.643386257060229,723.584796208844409,6166.580857034223300,
59349.024571759298851,4965928.878235159441829,5197990.852413347922266,2806463.957589278463274,-3886.094688068412779,453.832296180104095,6029.662780563648994,
59349.025266203701904,4725131.916005613282323,5217091.618652435950935,3163663.782371251378208,-4138.375436993665971,182.700969940973209,5873.896157841164495,
59349.025960648097680,4469583.018909897655249,5219904.407395056448877,3510964.392941127065569,-4377.698033713130826,-88.958370622039638,5699.776374894016044,
59349.026655092602596,4200082.261918384581804,5206423.084249846637249,3847280.903682344593108,-4603.316766094331797,-360.294269458066367,5507.856353467959707,
59349.027349536998372,3917473.149338533636183,5176692.553685135208070,4171563.281850905157626,-4814.530030574718694,-630.457360465338070,5298.744543586948566,
59349.028043981503288,3622639.910244277678430,5130808.552422189153731,4482799.614111288450658,-5010.682412355937231,-898.603064138096215,5073.102787823778272,
59349.028738425899064,3316504.659307753667235,5068917.282602823339403,4780019.242348595522344,-5191.166616263029937,-1163.894246082705649,4831.644029264933124,
59349.029432870396704,3000024.465556050650775,4991214.882256513461471,5062295.756669986061752,-5355.425231010814059,-1425.503843998660841,4575.129836134324250,
59349.030127314799756,2674188.302132019773126,4897946.751268081367016,5328749.835650300607085,-5502.952277100471292,-1682.617413458291594,4304.367790973903539,
59349.030821759297396,2340013.927266121841967,4789406.712530127726495,5578551.924719370901585,-5633.294549209841534,-1934.435583880079776,4020.208792403318967,
59349.031516203700448,1998544.676663066493347,4665936.039008001796901,5810924.754731239750981,-5746.052805779594564,-2180.176469419243858,3723.544311566851320,
59349.032210648103501,1650846.196291817585006,4527922.336106148548424,6025145.691656140610576,-5840.882813109061317,-2419.078033528857304,3415.303522282364611,
