MJD,Interpolated_X,Interpolated_Y,Interpolated_Z,Interpolated_VX,Interpolated_VY,Interpolated_VZ
59350.52809300464,-4370734.617411374,495297.56378863164,6338542.324882102,-4703.263536554994,-4605.365639531866,-2880.6471778352557
59350.52811413542,-4379315.052530131,486888.8404254408,6333273.96723959,-4696.349295349893,-4606.14188287405,-2890.682609664489
59350.528135266206,-4387882.854935799,478478.7090444363,6327987.293638867,-4689.421468678687,-4606.904840587431,-2900.7097339457364
59350.52815639699,-4396437.996888357,470067.196802101,6322682.32109311,-4682.480078688174,-4607.654510081759,-2910.7285182759742
59350.528177527776,-4404980.453640236,461654.32796431985,6317359.064857621,-4675.525145186263,-4608.3908890739785,-2920.7389337314494
59350.52819865857,-4413510.203414603,453240.1239039345,6312017.53839829,-4668.55668561859,-4609.113975565366,-2930.740954853401
59350.52821978936,-4422027.2185920905,444824.6117922178,6306657.758906108,-4661.57472226445,-4609.82376709231,-2940.7345493147227
59350.52824092014,-4430531.468680873,436407.8217048741,6301279.745505014,-4654.579279872175,-4610.520261009637,-2950.7196813858677
59350.52826205093,-4439022.940790474,427989.7663324099,6295883.506254585,-4647.570368772272,-4611.203456144206,-2960.6963359862257
59350.52828318171,-4447501.598658182,419570.48155633186,6290469.064106694,-4640.54801862291,-4611.873349460283,-2970.6644705643503
59350.5283043125,-4455967.42943087,411149.98007175664,6285036.427176138,-4633.512239795896,-4612.529939823472,-2980.624070062107
59350.52832544329,-4464420.399862319,402728.2948713752,6279585.616690197,-4626.463059635055,-4613.173224529289,-2990.5750954225964
59350.52834657407,-4472860.488411826,394305.4473547768,6274116.646458742,-4619.4004958419455,-4613.803201824467,-3000.5175213355774
59350.52836770486,-4481287.670658094,385881.4618244541,6268629.532211626,-4612.324568577352,-4614.41986976509,-3010.451319083282
59350.52838883564,-4489701.92221656,377456.36258648516,6263124.289731111,-4605.235298040897,-4615.023226444982,-3020.3764599713986
59350.52840996644,-4498103.224520668,369030.16814729053,6257600.931041886,-4598.132699575134,-4615.61327039747,-3030.292922155246
