tSec,x,y,z,vx,vy,vz,
2180,6194146.51742631,4604027.28840646,31715.5512569701,-1757.7008558915,2318.41793212242,6573.18941121895,
2190,6176300.93374381,4627011.31284492,97445.1102065142,-1811.3900771693,2278.35369612142,6572.62707619945,
2200,6157919.2397696,4649593.70298603,163166.18683565,-1864.92213290498,2238.09165785117,6571.49295928184,
2210,6139003.03057553,4671772.4983922,228873.063774465,-1918.29234216952,2197.63533723399,6569.78715875305,
2220,6119553.94797141,4693545.77391157,294560.024890098,-1971.49603836745,2156.98827143875,6567.50982373457,
2230,6099573.6803595,4714911.63984881,360221.355795026,-2024.52856967713,2116.15401454721,6564.66115417054,
2240,6079063.96258459,4735868.24213258,425851.344355208,-2077.38529948889,2075.13613721831,6561.24140080908,
2250,6058026.5757797,4756413.76247961,491444.281198,-2130.06160684061,2033.93822635059,6557.25086517702,
2260,6036463.34720741,4776546.41855539,556994.460219791,-2182.55288685071,1992.56388474328,6552.68989954798,
2270,6014376.15009694,4796264.46413151,622496.179093282,-2234.85455114817,1951.01673075603,6547.55890690441,
2280,5991766.90347686,4815566.18923952,687943.739774363,-2286.96202829967,1909.30039796782,6541.85834089349,
2290,5968637.57200365,4834449.92032144,753331.449008516,-2338.87076423369,1867.41853483517,6535.58870577749,
2300,5944990.1657859,4852914.0203768,818653.618836692,-2390.57622266157,1825.37480434984,6528.75055637875,
2310,5920826.74020446,4870956.88910633,883904.567100619,-2442.07388549587,1783.17288369614,6521.34449801978,
2320,5896149.3957283,4888576.96305211,949078.617947483,-2493.35925326602,1740.81646390792,6513.37118645855,
2330,5870960.27772631,4905772.71573437,1014170.10233394,-2544.42784553162,1698.30924952513,6504.83132781952,
2340,5845261.57627488,4922542.65778487,1079173.35852943,-2595.2752012937,1655.65495824985,6495.72567852022,
2350,5819055.52596152,4938885.33707674,1144082.73261868,-2645.89687940422,1612.85732060151,6486.05504519363,
2360,5792344.40568423,4954799.33885095,1208892.57900353,-2696.28845897398,1569.9200795712,6475.82028460621,
2370,5765130.53844692,4970283.2858393,1273597.26090376,-2746.44553977921,1526.84699027468,6465.02230357121,
2380,5737416.29115075,4985335.83838392,1338191.15085715,-2796.36374266673,1483.64181960403,6453.66205885718,
