tSec,x,y,z,vx,vy,vz,
4380,-4526773.61865186,96240.3442481302,6246961.48816483,-4316.00624702618,-4868.32763588489,-3050.03097130498,
4440,-4778546.5779266,-195857.717820765,6054300.27033297,-4074.23861756117,-4865.74504287968,-3370.34696799978,
4500,-5015427.38714697,-487345.701808746,5842729.28716659,-3819.72905104699,-4847.99605893911,-3680.19224677634,
4560,-5236674.93152097,-777314.877953999,5612906.02299856,-3553.26412678773,-4815.13029091368,-3978.59755229075,
4620,-5441596.44408864,-1064860.89955429,5365545.10598003,-3275.66848052995,-4767.2442246868,-4264.62784269452,
4680,-5629549.71988993,-1349086.61339008,5101416.16614604,-2987.80247886386,-4704.48113638831,-4537.38525813759,
4740,-5799945.18643589,-1629104.86224667,4821341.51531663,-2690.55974085889,-4627.03090643408,-4796.01209545942,
4800,-5952247.81917253,-1904041.27109148,4526193.64876264,-2384.86444444128,-4535.12964369186,-5039.69376103155,
4860,-6085978.8890499,-2173037.00308172,4216892.57320572,-2071.66843471826,-4429.05905262238,-5267.66158302678,
4920,-6200717.53315817,-2435251.47078296,3894402.97331168,-1751.948239259,-4309.14559121831,-5479.19537418109,
4980,-6296102.14599877,-2689864.99360007,3559731.23138366,-1426.70207816976,-4175.75953663935,-5673.62578117936,
5040,-6371831.59048914,-2936081.39773213,3213922.30940139,-1096.9468313737,-4029.31400084055,-5850.33653906595,
5100,-6427666.22342998,-3173130.55383595,2858056.49795611,-763.714875111818,-3870.26382063899,-6008.76664471575,
5160,-6463428.72704149,-3400270.84290427,2493246.03854473,-428.050789819535,-3699.10427498987,-6148.41239821574,
5220,-6479004.73989007,-3616791.53959322,2120631.62832023,-91.0079668345561,-3516.3696110573,-6268.82927269414,
5280,-6474343.28182764,-3822015.10106668,1741378.81897244,246.354855421916,-3322.63137165932,-6369.6335648424,
5340,-6449456.97055263,-4015299.35062163,1356674.32384494,582.977065483459,-3118.49657247135,-6450.50380793667,
5400,-6404422.0295731,-4196039.54876724,967722.246020138,917.799667914072,-2904.60577311165,-6511.18200248319,
5460,-6339378.08465497,-4363670.34441746,575740.237926334,1249.76885141328,-2681.63099917583,-6551.47465411869,
5520,-6254527.74425319,-4517667.59612787,181955.607267027,1577.83960444632,-2450.27349392438,-6571.25350768824,
5580,-6150135.96461168,-4657550.05493343,-212398.610930735,1900.9792587374,-2211.26136634751,-6570.4559528249,
5640,-6026529.20593005,-4782880.90419422,-606087.599351366,2218.17091500602,-1965.34717571565,-6549.08520762134,
5700,-5884094.38481884,-4893269.15178204,-997878.709417376,2528.41682144971,-1713.30541694031,-6507.2103286634,
5760,-5723277.62448183,-4988370.86776057,-1386545.4056682,2830.74173113574,-1455.92988823191,-6444.96596226259,
5820,-5544582.80590876,-5067890.26169283,-1770871.18584539,3124.19616234208,-1194.03098830559,-6362.55178484553,
5880,-5348569.92807977,-5131580.59702692,-2149653.45928867,3407.85950087806,-928.432993250505,-6260.23168710095,
5940,-5135853.28654841,-5179244.94166582,-2521707.37052215,3680.84295823915,-659.971316307835,-6138.33276845641,
6000,-4907099.47808169,-5210736.75323487,-2885869.55685487,3942.29241260821,-389.489737963016,-5997.24413813452,
6060,-4663025.23858436,-5225960.29757604,-3241001.82769938,4191.39112200918,-117.837620541863,-5837.41550504764,
6120,-4404395.12225656,-5224870.90004502,-3585994.75327396,4427.36230507964,154.132879781592,-5659.355569431,
6180,-4132019.02965303,-5207475.02922014,-3919771.15070569,4649.47159527966,425.569613060725,-5463.63020572102,
6240,-3846749.593145,-5173830.2123337,-4241289.45401609,4857.02932922695,695.623239606471,-5250.86040691556,
6300,-3549479.43162034,-5124044.78350126,-4549546.95399956,5049.39261009362,963.449989362541,-5021.72001255185,
6360,-3241138.28849614,-5058277.46905653,-4843582.89700391,5225.96713797167,1228.21432718209,-4776.93328985705,
6420,-2922690.06588915,-4976736.81596504,-5122481.43569401,5386.20884919478,1489.09152267738,-4517.27242388939,
6480,-2595129.76517369,-4879680.46802262,-5385374.42669621,5529.62540030444,1745.27016013195,-4243.55491996395,
6540,-2259480.34316294,-4767414.2927168,-5631444.06906536,5655.77749275184,1995.9546056514,-3956.64089104167,
