tSec,x,y,z,vx,vy,vz,
85220,-4009376.70999284,763543.029035231,6547060.46144787,-4882.36081474635,-4671.2252163078,-2443.18471590878,
85230,-4058026.1048659,716798.404915143,6522345.00593073,-4847.44783927093,-4677.63219661328,-2499.87087887489,
85240,-4106324.26536411,669991.734259119,6497063.76220801,-4812.11444076462,-4683.63443122334,-2556.34154113671,
85250,-4154267.00234727,623127.067234706,6471218.90973375,-4776.36364328619,-4689.23138377707,-2612.59181627611,
85260,-4201850.15709652,576208.459200241,6444812.67673603,-4740.1985070103,-4694.42255248578,-2668.61683597009,
85270,-4249069.60167434,529239.970358882,6417847.34003399,-4703.62212798037,-4699.20747018232,-2724.41175039981,
85280,-4295921.2392819,482225.665412156,6390325.22485075,-4666.6376378607,-4703.58570436746,-2779.97172865623,
85290,-4342401.00461413,435169.613213056,6362248.70462228,-4629.24820368807,-4707.55685725397,-2835.29195914285,
85300,-4388504.86421214,388075.886418714,6333620.2008023,-4591.45702762327,-4711.12056580884,-2890.36764997638,
85310,-4434228.81681323,340948.561142649,6304442.18266311,-4553.2673467022,-4714.27650179399,-2945.1940293858,
85320,-4479568.89369838,293791.716606621,6274717.16709252,-4514.68243258669,-4717.02437180567,-2999.76634611074,
85330,-4524521.15903731,246609.434792096,6244447.71838671,-4475.70559131437,-4719.3639173127,-3054.0798697996,
85340,-4569081.71023092,199405.800091337,6213636.4480392,-4436.3401630474,-4721.29491469351,-3108.12989140792,
85350,-4613246.67825132,152184.898958121,6182286.01452574,-4396.58952181948,-4722.81717527178,-3161.91172359748,
85360,-4657012.22797923,104950.819558123,6150399.12308525,-4356.45707528058,-4723.93054535062,-3215.42070113624,
85370,-4700374.55853891,57707.6514189504,6117978.52549681,-4315.94626443906,-4724.63490624503,-3268.65218129932,
85380,-4743329.90363037,10459.4850798758,6085027.01985249,-4275.06056340054,-4724.93017431237,-3321.60154427101,
85390,-4785874.5318591,-36789.5882587336,6051547.45032633,-4233.80347910305,-4724.8163009806,-3374.26419354773,
85400,-4828004.74706299,-84035.4770862512,6017542.70693916,-4192.1785510482,-4724.29327277399,-3426.63555634178,
85410,-4869716.88863662,-131274.089932871,5983015.72531939,-4150.18935102774,-4723.361111336,-3478.71108398558,
85420,-4911007.33185281,-178501.335720902,5947969.48645985,-4107.83948284535,-4722.01987344908,-3530.48625233602,
85430,-4951872.48818126,-225713.124116241,5912407.0164705,-4065.13258203341,-4720.2696510509,-3581.9565621786,
85440,-4992308.80560449,-272905.365879992,5876331.38632711,-4022.07231556447,-4718.11057124695,-3633.11753963064,
85450,-5032312.76893066,-320073.97322019,5839745.71161592,-3978.66238155754,-4715.54279631891,-3683.96473654314,
85460,-5071880.90010367,-367214.860143587,5802653.15227437,-3934.90650897935,-4712.56652372877,-3734.49373090053,
85470,-5111009.75851002,-414323.942807456,5765056.9123277,-3890.80845734063,-4709.18198611834,-3784.70012721777,
85480,-5149695.94128277,-461397.139871367,5726960.23962172,-3846.3720163882,-4705.38945130411,-3834.579556934,
85490,-5187936.08360235,-508430.372848891,5688366.42555159,-3801.60100579305,-4701.18922226746,-3884.12767880227,
85500,-5225726.85899417,-555419.566459177,5649278.80478677,-3756.4992748355,-4696.58163714027,-3933.34017927477,
