tSec,x,y,z,vx,vy,vz,
1130,2442999.86616639,576612.447367709,6585874.71878722,-7037.93125317008,233.691543589133,2659.80711654055,
1140,2372483.44580008,578916.646132246,6612098.1148626,-7065.21818661595,227.144214434837,2584.82644785087,
1150,2301698.19936422,581155.253025324,6637570.34924749,-7091.69604416649,220.573296012224,2509.57623078846,
1160,2230652.23014774,583328.035958399,6662288.77006054,-7117.36233557359,213.979549411451,2434.06518900574,
1170,2159353.66586931,585434.770461334,6686250.81275111,-7142.2146651697,207.363737186382,2358.30206487647,
1180,2087810.6577305,587475.239695886,6709454.00028281,-7166.25073208684,200.726623122853,2282.29561874201,
1190,2016031.3794664,589449.234466885,6731895.94330897,-7189.46833053261,194.068972014667,2206.05462805558,
1200,1944024.02639348,591356.553231315,6753574.3403391,-7211.86535007454,187.391549469236,2129.58788642845,
1210,1871796.8144546,593197.002105642,6774486.97789531,-7233.43977590432,180.695121753934,2052.90420260183,
1220,1799357.9792616,594970.394871828,6794631.73065832,-7254.18968907494,173.980455685176,1976.01239936595,
1230,1726715.775136,596676.552982427,6814006.5616022,-7274.11326661597,167.248318556694,1898.92131240619,
1240,1653878.47414716,598315.305565211,6832609.52211778,-7293.20878199356,160.499478118322,1821.63978919629,
1250,1580854.36514823,599886.48942775,6850438.75212407,-7311.47460495394,153.734702584467,1744.17668768008,
1260,1507651.75281307,601389.949062306,6867492.48016662,-7328.90920162598,146.954760692648,1666.54087500062,
1270,1434278.95667254,602825.536651495,6883769.02350292,-7345.51113445293,140.160421792482,1588.74122619463,
1280,1360744.31015225,604193.112074914,6899266.78817497,-7361.27906200243,133.352455946836,1510.7866229084,
1290,1287056.15961267,605492.54291673,6913984.26906913,-7376.21173868323,126.53163401948,1432.6859521784,
1300,1213222.86339237,606723.704473982,6927920.04996436,-7390.3080144003,119.698727724461,1354.44810530616,
1310,1139252.79085495,607886.479765103,6941072.80356967,-7403.56683418803,112.854509620878,1276.0819768417,
1320,1065154.32143948,608980.759538096,6953441.291552,-7415.98723786293,105.999753048774,1197.59646367215,
1330,990935.843714188,610006.442277807,6965024.36455533,-7427.56835973237,99.1352320127719,1119.0004641917,
1340,916605.754432702,610963.434211793,6975820.96221183,-7438.309428381,92.2617210264752,1040.30287751232,
1350,842172.45759216,611851.649314029,6985830.11314485,-7448.20976650318,85.3799948165113,961.512602617898,
1360,767644.363492142,612671.009307696,6995050.93496422,-7457.2687909066,78.4908284769528,882.638537676179,
1370,693029.887794322,613421.443666232,7003482.63425287,-7465.48601235153,71.5949969289626,803.689578994772,
1380,618337.450583197,614102.88961122,7011124.50654392,-7472.86103549719,64.6932748509802,724.674620133671,
1390,543575.475427609,614715.292109106,7017975.93628829,-7479.39355879594,57.7864365109895,645.60255094311,
1400,468752.388443418,615258.603866361,7024036.39681284,-7485.08337437046,50.8752556254928,566.48225658542,
1410,393876.617357472,615732.785323403,7029305.45026842,-7489.93036787549,43.9605052519915,487.322616531027,
1420,318956.590573105,616137.804647615,7033782.74756778,-7493.93451832555,37.0429577170466,408.132503512614,
1430,244000.736237686,616473.63772581,7037468.0283128,-7497.09589785065,30.1233845756228,328.920782439464,
