TIME,EST X1,EST X2,EST X3,EST X4,EST X5,EST X6,STD X1,,,,,,,STD X2,,,,,,,STD X3,,,,,,,STD X4,,,,,,,STD X5,,,,,,,STD X6,
200,6845488.53323863,129096.440719076,1496914.88044644,-1609.45655227831,645.947310250296,7373.71000241772,163551807.6875,-25242372.3503418,-12724912.9179688,78282.5256919861,-91967.2503232956,-42276.9875793457,-25242372.3503418,30192737.0932302,10670859.3282928,-39315.998393178,6524.97003872693,2282.36772418022,-12724912.9179688,10670859.3282928,6645757.80151367,-16664.9515132904,3334.7801156044,3794.04111862183,78282.5256919861,-39315.998393178,-16664.9515132904,68.8945619465619,-33.4797356678173,-15.5198344364762,-91967.2503223419,6524.97003872693,3334.7801156044,-33.4797356678173,65.2782066318275,23.5710908230394,-42276.9875793457,2282.36772418022,3794.04111862183,-15.5198344364762,23.5710908230394,23.6146639568567,
210,6828997.55956081,135548.310787903,1570563.56380479,-1688.70506078451,644.414263391189,7355.88429530117,165158690.070312,-26558877.3070068,-13310299.1054688,82410.0957298279,-91906.0692720413,-41080.8707885742,-26558877.3068848,30326110.3883858,10727245.1317139,-40116.178380847,6811.01966772228,2218.9831417799,-13310299.1054688,10727245.1317139,6722374.32128906,-17044.1812324524,3435.41512548923,3864.6651802063,82410.0957298279,-40116.178380847,-17044.1812319756,72.0501508693513,-34.9198250809568,-15.6254933150485,-91906.0692710876,6811.01966772228,3435.41512548923,-34.9198250811896,65.0071638078469,22.8002403106075,-41080.8707885742,2218.9831417799,3864.6651802063,-15.6254933131859,22.8002403106075,22.9173030724585,
220,6811715.11024711,141984.477515156,1644029.72277332,-1767.75010303665,642.806675325332,7337.20551806809,166848414.039062,-27882905.2520752,-13887203.9140625,86566.8391475677,-91838.2350502014,-39814.1391525269,-27882905.2520752,30465147.4761419,10783832.7330475,-40949.3944981098,7091.30847782269,2130.38651931286,-13887203.9140625,10783832.733078,6800249.55444336,-17431.0071029663,3526.89551764727,3919.86305999756,86566.8391475677,-40949.3944981098,-17431.0071029663,75.3348024433315,-36.3265910245245,-15.6364143490791,-91838.2350502014,7091.30847782269,3526.89551764727,-36.3265910245245,64.7243943693273,21.9992080512457,-39814.1391601562,2130.38651931286,3919.86305809021,-15.6364143528044,21.9992080503143,22.2111251933336,
230,6793643.26720192,148404.196506271,1717304.8386404,-1846.58223578116,641.124751134064,7317.67608672295,168621572.183594,-29214713.4190674,-14454981.4296875,90753.6608285904,-91763.2511916161,-38475.1133651733,-29214713.4190674,30609730.7056961,10840271.7721863,-41814.8149686754,7365.59377405047,2015.55836033821,-14454981.4296875,10840271.7721863,6879072.22900391,-17823.9417920113,3608.90891337395,3959.37071609497,90753.6608285904,-41814.8149686754,-17823.9417920113,78.7450696005788,-37.6986653503263,-15.5488798636943,-91763.2511916161,7365.59377405047,3608.90891337395,-37.6986653498607,64.4301220833393,21.1690354989842,-38475.1133651733,2015.55836033821,3959.37071609497,-15.5488798636943,21.1690354989842,21.4996379373431,
240,6774784.20660627,154806.725464897,1790380.4173967,-1925.19204718059,639.368705376003,7297.29852565439,170478774.570312,-30554545.4942627,-15012953.4804688,94971.4001693726,-91680.6021108627,-37062.0517807007,-30554545.4942627,30759737.6177359,10896198.7770844,-42711.57458058,7633.63743109256,1873.50390934944,-15012953.4804688,10896198.7770844,6958526.43139648,-18221.444756031,3681.15980899334,3982.98780441284,94971.4001655579,-42711.57458058,-18221.444756031,82.2773677680478,-39.0347101725638,-15.3592804670334,-91680.6021108627,7633.63743107766,3681.15980899334,-39.0347101725638,64.1245801112334,20.3108065519482,-37062.0517807007,1873.50390934944,3982.98780441284,-15.3592804651707,20.3108065519482,20.7864897457719,
250,6755140.19859664,161191.324287582,1863247.99081699,-2003.57015821862,637.538762069913,7276.07546722054,172420647.4375,-31902631.0977783,-15560408.5058594,99220.8285903931,-91589.7536334991,-35573.1526489258,-31902631.0977783,30915041.0377302,10951237.5883026,-43638.7753986716,7895.20608082786,1703.25413990021,-15560408.5097656,10951237.5883026,7038292.89477539,-18621.92436409,3743.37023216486,3990.58007621765,99220.8285923004,-43638.7753986716,-18621.92436409,85.9279779579327,-40.3334191129543,-15.0641194228083,-91589.7536334991,7895.20608081296,3743.37023216486,-40.3334191127215,63.808010862015,19.4256467372179,-35573.1526489258,1703.25413990021,3990.58007621765,-15.0641194228083,19.4256467381492,20.0754669068217,
260,6734713.60692967,167557.255158281,1935899.11753761,-2081.7072241126,635.635154673698,7254.00965130513,174447831.648438,-33259185.2792969,-16096600.4941406,103502.647188187,-91490.1535592079,-34006.5563659668,-33259185.2792969,31075509.1728582,11004999.7991333,-44595.4875065982,8150.07129653171,1503.86671644449,-16096600.4960938,11004999.7991333,7118050.35009766,-19023.7401108742,3795.28038334846,3982.08176422119,103502.647188187,-44595.4875065982,-19023.7401108742,89.6930499832913,-41.5935185201233,-14.6600169017911,-91490.1535582542,8150.07129653171,3795.28038334846,-41.5935185201233,63.4806658373371,18.5147223693784,-34006.5563659668,1503.86671668291,3982.08176231384,-14.6600169017911,18.5147223693784,19.3704903369606,
270,6713506.88863275,173903.782642618,2008325.38412942,-2159.59393573117,633.658126059068,7231.10392484106,176560981.453125,-34624408.020752,-16620747.90625,107817.484361649,-91381.2322244644,-32360.3476257324,-34624408.020752,31241005.712738,11057085.2124023,-45580.749779284,8398.00977340341,1274.42694497108,-16620747.90625,11057085.2124634,7197476.9128418,-19425.2049012184,3836.64925992489,3957.4979019165,107817.484359741,-45580.7497792244,-19425.2049012184,93.568605814299,-42.8137686732225,-14.1437142007053,-91381.2322249413,8398.00977340341,3836.64925992489,-42.8137686729897,63.1428054669475,17.5792396729812,-32360.3476257324,1274.42694497108,3957.49790382385,-14.1437142007053,17.5792396729812,18.675612522459,
280,6691522.59364043,180230.17378188,2080518.40616573,-2237.22102101377,631.607928481483,7207.36124129899,178760762.859375,-35998483.7602539,-17132032.6835938,112165.89358139,-91262.4031043053,-30632.5578384399,-35998483.7602539,31411389.9335327,11107082.3127441,-46593.5706828237,8638.80350503325,1014.04868936539,-17132032.6835938,11107082.3127441,7276251.53417969,-19824.5874390602,3867.25527024269,3916.90657043457,112165.89358139,-46593.5706828237,-19824.5874390602,97.5505430790897,-43.9929649612168,-13.5120778176934,-91262.4031043053,8638.80350501835,3867.25527024269,-43.9929649612168,62.79469893686,16.6204438526183,-30632.5578460693,1014.04868912697,3916.90657043457,-13.5120778176934,16.620443851687,17.9950140846729,
290,6668763.36441659,186535.698186684,2152469.82928496,-2314.57924638829,629.484823545063,7182.78466013877,181047852.183594,-37381580.9244385,-17629599.3115234,116548.351203918,-91133.0634098053,-28821.1674880981,-37381580.9244385,31586516.8057442,11154568.7533875,-47632.9291036129,8872.2399558574,721.875274419785,-17629599.3115234,11154568.7533875,7354055.46655273,-20220.1146526337,3886.89682114124,3860.46106529236,116548.351205826,-47632.9291036129,-20220.1146526337,101.634638677521,-45.1299390357453,-12.7621034588665,-91133.0634093285,8872.2399558723,3886.89682137966,-45.1299390359782,62.436624007062,15.6396181387827,-28821.1674880981,721.875274419785,3860.46106529236,-12.7621034607291,15.6396181387827,17.3330003155231,
